id,facility_name,country,country_code,text_content,specialties,has_icu,has_emergency,source_url,latitude,longitude
RW_legacy_hospital,Legacy Hospital,null,RW,Legacy Hospital hospital RW,null,true,true,https://www.openstreetmap.org/node/11012436882,-1.9679378,30.1632721
ET_health_center_feres_bet,Health Center Feres Bet,null,ET,Health Center Feres Bet hospital ET,null,true,true,https://www.openstreetmap.org/node/1748678062,10.8493702,37.6088443
ET_healthcare_facility_5720719122,Healthcare Facility 5720719122,null,ET,Healthcare Facility 5720719122 hospital ET,null,true,true,https://www.openstreetmap.org/node/5720719122,9.019603,38.7499016
SL_ahmaddya_hospital,Ahmaddya hospital,null,SL,Ahmaddya hospital hospital SL,null,true,true,https://www.openstreetmap.org/node/5430860421,8.4316504,-13.1548783
SL_healthcare_facility_7649005105,Healthcare Facility 7649005105,null,SL,Healthcare Facility 7649005105 hospital SL,null,true,true,https://www.openstreetmap.org/node/7649005105,8.4659499,-13.1938956
LR_curran_lutheran_hospital,Curran Lutheran Hospital,null,LR,Curran Lutheran Hospital hospital LR,null,true,true,https://www.openstreetmap.org/node/7707004605,7.7751388,-9.4324903
LR_ch_rennie_hospital,CH Rennie Hospital,null,LR,CH Rennie Hospital hospital LR,null,true,true,https://www.openstreetmap.org/node/7717178066,6.5203905,-10.3481794
NE_csi_boudouri,CSI Boudouri,null,NE,CSI Boudouri hospital NE,null,true,true,https://www.openstreetmap.org/node/5158937121,13.2676143,12.4893433
ML_chu_cnos,CHU CNOS,null,ML,CHU CNOS hospital ML,null,true,true,https://www.openstreetmap.org/node/2163838646,12.6367,-8.00353
ML_cscom_mercoya,CSCOM Mercoya,null,ML,CSCOM Mercoya hospital ML,null,true,true,https://www.openstreetmap.org/node/5224845823,13.9210643,-8.1981982
UG_healthcare_facility_1647176814,Healthcare Facility 1647176814,null,UG,Healthcare Facility 1647176814 hospital UG,null,true,true,https://www.openstreetmap.org/node/1647176814,2.2473075,32.9003043
UG_kanyenya_hospital,Kanyenya Hospital,null,UG,Kanyenya Hospital hospital UG,null,true,true,https://www.openstreetmap.org/node/1947820229,0.9438588,34.1261633
MW_ehehleni_health_center,Ehehleni Health Center,null,MW,Ehehleni Health Center hospital MW,null,true,true,https://www.openstreetmap.org/node/1629688666,-12.2639557,33.587834
MW_kanjedza_mediclinic_masm_,Kanjedza MediClinic (MASM),null,MW,Kanjedza MediClinic (MASM) hospital MW,null,true,true,https://www.openstreetmap.org/node/4818854325,-15.8126957,35.0550247
BF_cardiologie,Cardiologie,null,BF,Cardiologie hospital BF,null,true,true,https://www.openstreetmap.org/node/6664182108,11.1705264,-4.3019391
RW_healthcare_facility_1403167994,Healthcare Facility 1403167994,null,RW,Healthcare Facility 1403167994 hospital RW,null,true,true,https://www.openstreetmap.org/node/1403167994,-2.1814081,29.2911129
RW_healthcare_facility_1841447194,Healthcare Facility 1841447194,null,RW,Healthcare Facility 1841447194 hospital RW,null,true,true,https://www.openstreetmap.org/node/1841447194,-1.9528334,30.1028383
ET_st_yared_general_hospital,St. Yared general hospital,null,ET,St. Yared general hospital hospital ET,null,true,true,https://www.openstreetmap.org/node/6855641985,9.0190983,38.809959
SL_china_sl_friendship_hospital_jui,"China-SL Friendship Hospital, Jui",null,SL,"China-SL Friendship Hospital, Jui hospital SL",null,true,true,https://www.openstreetmap.org/node/3197529881,8.3886882,-13.1428364
SL_kailahun_cmc,Kailahun CMC,null,SL,Kailahun CMC hospital SL,null,true,true,https://www.openstreetmap.org/node/3197529885,8.298,-10.558
LR_bolahun_health_center,Bolahun Health Center,null,LR,Bolahun Health Center hospital LR,null,true,true,https://www.openstreetmap.org/node/4131212887,8.2283878,-10.162326
LR_home_of_dignity_health_center,Home of Dignity Health Center,null,LR,Home of Dignity Health Center hospital LR,null,true,true,https://www.openstreetmap.org/node/5358323622,6.4346161,-10.7631066
LR_liberia_agriculture_company_hospital,Liberia Agriculture Company Hospital,null,LR,Liberia Agriculture Company Hospital hospital LR,null,true,true,https://www.openstreetmap.org/node/7703806407,6.0902807,-9.7377499
MG_healthcare_facility_2430137856,Healthcare Facility 2430137856,null,MG,Healthcare Facility 2430137856 hospital MG,null,true,true,https://www.openstreetmap.org/node/2430137856,-13.4427462,48.3478284
MG_healthcare_facility_5249769022,Healthcare Facility 5249769022,null,MG,Healthcare Facility 5249769022 hospital MG,null,true,true,https://www.openstreetmap.org/node/5249769022,-12.2833363,49.294032
MG_centre_hospitalier_de_r_f_rence_de_district_ikalamavony,Centre Hospitalier de Référence de District Ikalamavony,null,MG,Centre Hospitalier de Référence de District Ikalamavony hospital MG,null,true,true,https://www.openstreetmap.org/node/7554433938,-21.1635911,46.5972649
NE_grand_hopital,Grand Hopital,null,NE,Grand Hopital hospital NE,null,true,true,https://www.openstreetmap.org/node/7624013450,13.7540998,7.9902728
NE_district_de_sanam,district de sanam,null,NE,district de sanam hospital NE,null,true,true,https://www.openstreetmap.org/node/8023371777,14.838679,3.9235353
NE_csi_guidan_roumdji,CSI Guidan Roumdji,null,NE,CSI Guidan Roumdji hospital NE,null,true,true,https://www.openstreetmap.org/node/9995104273,13.6613777,6.6872111
BF_healthcare_facility_344614499,Healthcare Facility 344614499,null,BF,Healthcare Facility 344614499 hospital BF,null,true,true,https://www.openstreetmap.org/node/344614499,12.3979957,-1.506993
BF_csps_de_dayoubsi,CSPS de Dayoubsi,null,BF,CSPS de Dayoubsi hospital BF,null,true,true,https://www.openstreetmap.org/node/5111883546,12.2361713,-1.6037183
BF_csps_de_koulgoren,CSPS de Koulgoren,null,BF,CSPS de Koulgoren hospital BF,null,true,true,https://www.openstreetmap.org/node/6450529923,12.251082,-2.0375991
RW_gakoma,Gakoma,null,RW,Gakoma hospital RW,null,true,true,https://www.openstreetmap.org/node/1396656394,-2.4419463,29.9349884
RW_healthcare_facility_10822299068,Healthcare Facility 10822299068,null,RW,Healthcare Facility 10822299068 hospital RW,null,true,true,https://www.openstreetmap.org/node/10822299068,-1.9688014,30.1217423
ET_gonder_university_hospital,Gonder university hospital,null,ET,Gonder university hospital hospital ET,null,true,true,https://www.openstreetmap.org/node/595145872,12.6168703,37.4509954
ET_ghandi_hospital,Ghandi Hospital,null,ET,Ghandi Hospital hospital ET,null,true,true,https://www.openstreetmap.org/node/1110691820,9.0152977,38.7554049
ET_healthcare_facility_7398323192,Healthcare Facility 7398323192,null,ET,Healthcare Facility 7398323192 hospital ET,null,true,true,https://www.openstreetmap.org/node/7398323192,9.0313602,38.7466728
SL_makeneh_kabala_highway_makeni,Makeneh Kabala Highway Makeni,null,SL,Makeneh Kabala Highway Makeni hospital SL,null,true,true,https://www.openstreetmap.org/node/8687897519,8.9083172,-12.0296502
LR_liberia_government_hospital,Liberia Government Hospital,null,LR,Liberia Government Hospital hospital LR,null,true,true,https://www.openstreetmap.org/node/7703814877,5.8841365,-10.0459417
MG_tanzimoha,Tanzimoha,null,MG,Tanzimoha hospital MG,null,true,true,https://www.openstreetmap.org/node/4875413446,-22.341948,47.8488568
NE_maternit_boukoki,Maternité Boukoki,null,NE,Maternité Boukoki hospital NE,null,true,true,https://www.openstreetmap.org/node/2724924473,13.5339247,2.1195422
ML_cscom_hamdalaye,Cscom/HAMDALAYE,null,ML,Cscom/HAMDALAYE hospital ML,null,true,true,https://www.openstreetmap.org/node/3200016779,12.643859,-8.0317458
ML_centre_de_sant_de_r_f_rence_de_bankass,Centre de Santé de Référence de Bankass,null,ML,Centre de Santé de Référence de Bankass hospital ML,null,true,true,https://www.openstreetmap.org/node/5157646524,14.083355,-3.509163
UG_victoria_clinic,Victoria Clinic,null,UG,Victoria Clinic hospital UG,null,true,true,https://www.openstreetmap.org/node/1322227678,0.4272364,33.2087981
BF_csps_de_kou_r_,CSPS de Kouéré,null,BF,CSPS de Kouéré hospital BF,null,true,true,https://www.openstreetmap.org/node/6860866042,10.4632541,-4.0003002
RW_eye_clinic,Eye Clinic,null,RW,Eye Clinic hospital RW,null,true,true,https://www.openstreetmap.org/node/8441496294,-1.9680822,29.9699037
ET_icon_center_of_special_surgery,Icon center of special surgery,null,ET,Icon center of special surgery hospital ET,null,true,true,https://www.openstreetmap.org/node/4369113590,9.0000257,38.8060175
ET_amanuel_psychiatric_hospital,Amanuel Psychiatric Hospital,null,ET,Amanuel Psychiatric Hospital hospital ET,null,true,true,https://www.openstreetmap.org/node/4551063002,9.0282507,38.7226843
SL_mansary_cac,Mansary Cac,null,SL,Mansary Cac hospital SL,null,true,true,https://www.openstreetmap.org/node/4504648654,8.1709681,-10.7515772
SL_gandorhun_chc,Gandorhun CHC,null,SL,Gandorhun CHC hospital SL,null,true,true,https://www.openstreetmap.org/node/4504695174,8.854661,-10.7665845
SL_old_government_hospital,Old government hospital,null,SL,Old government hospital hospital SL,null,true,true,https://www.openstreetmap.org/node/8687950418,8.8885413,-12.0459702
